Epoch #1: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.687 ± 0.000,                               episode_1_off_accuracy: 0.717 ± 0.000
Epoch #2: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.605 ± 0.000,                               episode_1_off_accuracy: 0.738 ± 0.000
Epoch #3: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.492 ± 0.000,                               episode_1_off_accuracy: 0.762 ± 0.000
Epoch #4: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.286 ± 0.000,                               episode_1_off_accuracy: 0.768 ± 0.000
Epoch #5: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.198 ± 0.000,                               episode_1_off_accuracy: 0.637 ± 0.000
Epoch #6: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.149 ± 0.000,                               episode_1_off_accuracy: 0.512 ± 0.000
Epoch #7: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.142 ± 0.000,                               episode_1_off_accuracy: 0.385 ± 0.000
Epoch #8: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.130 ± 0.000,                               episode_1_off_accuracy: 0.392 ± 0.000
Epoch #9: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.144 ± 0.000,                               episode_1_off_accuracy: 0.348 ± 0.000
Epoch #10: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.120 ± 0.000,                               episode_1_off_accuracy: 0.390 ± 0.000
Epoch #11: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.150 ± 0.000,                               episode_1_off_accuracy: 0.447 ± 0.000
Epoch #12: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.143 ± 0.000,                               episode_1_off_accuracy: 0.408 ± 0.000
Epoch #13: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.123 ± 0.000,                               episode_1_off_accuracy: 0.352 ± 0.000
Epoch #14: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.170 ± 0.000,                               episode_1_off_accuracy: 0.387 ± 0.000
Epoch #15: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.128 ± 0.000,                               episode_1_off_accuracy: 0.362 ± 0.000
Epoch #16: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.141 ± 0.000,                               episode_1_off_accuracy: 0.435 ± 0.000
Epoch #17: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.151 ± 0.000,                               episode_1_off_accuracy: 0.397 ± 0.000
Epoch #18: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.131 ± 0.000,                               episode_1_off_accuracy: 0.452 ± 0.000
Epoch #19: episode_reward: 17154.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.138 ± 0.000,                               episode_1_off_accuracy: 0.405 ± 0.000
Epoch #20: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.159 ± 0.000,                               episode_1_off_accuracy: 0.429 ± 0.000
total time: 2713.522s
