Epoch #1: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #2: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #3: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #4: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #5: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #6: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.185 ± 0.000,                               episode_1_off_accuracy: 0.577 ± 0.000
Epoch #7: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #8: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #9: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #10: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #11: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #12: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #13: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.117 ± 0.000,                               episode_1_off_accuracy: 0.213 ± 0.000
Epoch #14: episode_reward: 17161.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.038 ± 0.000,                               episode_1_off_accuracy: 0.139 ± 0.000
Epoch #15: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.198 ± 0.000,                               episode_1_off_accuracy: 0.301 ± 0.000
Epoch #16: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.155 ± 0.000
Epoch #17: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #18: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.303 ± 0.000,                               episode_1_off_accuracy: 0.500 ± 0.000
Epoch #19: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.257 ± 0.000,                               episode_1_off_accuracy: 0.573 ± 0.000
Epoch #20: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.143 ± 0.000,                               episode_1_off_accuracy: 0.182 ± 0.000
total time: 2609.352s
