Epoch #1: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #2: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #3: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #4: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #5: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #6: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #7: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.430 ± 0.000,                               episode_1_off_accuracy: 0.825 ± 0.000
Epoch #8: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.119 ± 0.000,                               episode_1_off_accuracy: 0.520 ± 0.000
Epoch #9: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.167 ± 0.000,                               episode_1_off_accuracy: 0.414 ± 0.000
Epoch #10: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.159 ± 0.000,                               episode_1_off_accuracy: 0.373 ± 0.000
Epoch #11: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.207 ± 0.000,                               episode_1_off_accuracy: 0.448 ± 0.000
Epoch #12: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.402 ± 0.000
Epoch #13: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.188 ± 0.000,                               episode_1_off_accuracy: 0.390 ± 0.000
Epoch #14: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.169 ± 0.000,                               episode_1_off_accuracy: 0.406 ± 0.000
Epoch #15: episode_reward: 17098.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.190 ± 0.000,                               episode_1_off_accuracy: 0.368 ± 0.000
Epoch #16: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.191 ± 0.000,                               episode_1_off_accuracy: 0.400 ± 0.000
Epoch #17: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.185 ± 0.000,                               episode_1_off_accuracy: 0.385 ± 0.000
Epoch #18: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.158 ± 0.000,                               episode_1_off_accuracy: 0.387 ± 0.000
Epoch #19: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.137 ± 0.000,                               episode_1_off_accuracy: 0.317 ± 0.000
Epoch #20: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.177 ± 0.000,                               episode_1_off_accuracy: 0.349 ± 0.000
total time: 2358.328s
